subject,body,text,language,script,code_mixed,transliterated,label,origin_type,template_group
आपका एसबीआई बैंक खाता तुरंत सत्यापित करें,"प्रिय ग्राहक, आपका एसबीआई बैंक खाता आज रात 12 बजे तक निलंबित कर दिया जाएगा। तुरंत अपना पैन और आधार कार्ड सत्यापित करें: http://sbi-kyc-verify-portal.in","आपका एसबीआई बैंक खाता तुरंत सत्यापित करें
प्रिय ग्राहक, आपका एसबीआई बैंक खाता आज रात 12 बजे तक निलंबित कर दिया जाएगा। तुरंत अपना पैन और आधार कार्ड सत्यापित करें: http://sbi-kyc-verify-portal.in",hi,devanagari,False,False,1,real_curated,kyc_banking_hi_01
बिजली बिल भुगतान अंतिम चेतावनी,अंतिम चेतावनी: आपके बिजली कनेक्शन का बिल लंबित है। आज शाम तक भुगतान न करने पर बिजली काट दी जाएगी। यहां क्लिक करें: http://bijli-bill-update.online,"बिजली बिल भुगतान अंतिम चेतावनी
अंतिम चेतावनी: आपके बिजली कनेक्शन का बिल लंबित है। आज शाम तक भुगतान न करने पर बिजली काट दी जाएगी। यहां क्लिक करें: http://bijli-bill-update.online",hi,devanagari,False,False,1,real_curated,utility_hi_02
आयकर रिफंड स्वीकृति सूचना,"आयकर विभाग: आपको 24,500 रुपये का टैक्स रिफंड स्वीकृत किया गया है। रिफंड राशि प्राप्त करने के लिए अपना खाता विवरण दर्ज करें: http://incometax-refund-claim.co.in","आयकर रिफंड स्वीकृति सूचना
आयकर विभाग: आपको 24,500 रुपये का टैक्स रिफंड स्वीकृत किया गया है। रिफंड राशि प्राप्त करने के लिए अपना खाता विवरण दर्ज करें: http://incometax-refund-claim.co.in",hi,devanagari,False,False,1,real_curated,tax_refund_hi_03
गूगल पे सुरक्षा चेतावनी: संदिग्ध लेनदेन,"सावधान: आपके गूगल पे खाते से 10,000 रुपये का अनधिकृत लेनदेन दर्ज हुआ है। यदि यह आप नहीं हैं तो तुरंत रद्द करें: http://gpay-fraud-cancel.xyz","गूगल पे सुरक्षा चेतावनी: संदिग्ध लेनदेन
सावधान: आपके गूगल पे खाते से 10,000 रुपये का अनधिकृत लेनदेन दर्ज हुआ है। यदि यह आप नहीं हैं तो तुरंत रद्द करें: http://gpay-fraud-cancel.xyz",hi,devanagari,False,False,1,real_curated,upi_fraud_hi_04
लकी ड्रॉ पुरस्कार सूचना,बधाई हो! आपने लकी ड्रॉ में 5 लाख रुपये जीते हैं। अपना पुरस्कार प्राप्त करने के लिए ओटीपी और बैंक विवरण साझा करें।,"लकी ड्रॉ पुरस्कार सूचना
बधाई हो! आपने लकी ड्रॉ में 5 लाख रुपये जीते हैं। अपना पुरस्कार प्राप्त करने के लिए ओटीपी और बैंक विवरण साझा करें।",hi,devanagari,False,False,1,real_curated,lottery_hi_05
एचडीएफसी कार्ड सुरक्षा चेतावनी,महत्वपूर्ण: आपके क्रेडिट कार्ड पर संदिग्ध लेनदेन पाया गया है। कार्ड ब्लॉक होने से बचाने के लिए यहां लॉगिन करें: http://hdfc-card-safety.top,"एचडीएफसी कार्ड सुरक्षा चेतावनी
महत्वपूर्ण: आपके क्रेडिट कार्ड पर संदिग्ध लेनदेन पाया गया है। कार्ड ब्लॉक होने से बचाने के लिए यहां लॉगिन करें: http://hdfc-card-safety.top",hi,devanagari,False,False,1,real_curated,card_fraud_hi_06
जिओ सिम ई-केवाईसी तत्काल अपडेट,"प्रिय उपयोगकर्ता, आपका सिम कार्ड 24 घंटे में निष्क्रिय हो जाएगा। अपनी ई-केवाईसी तुरंत पूरी करें: http://jio-kyc-reactivate.biz","जिओ सिम ई-केवाईसी तत्काल अपडेट
प्रिय उपयोगकर्ता, आपका सिम कार्ड 24 घंटे में निष्क्रिय हो जाएगा। अपनी ई-केवाईसी तुरंत पूरी करें: http://jio-kyc-reactivate.biz",hi,devanagari,False,False,1,real_curated,telecom_hi_07
पीएम आवास योजना अनुदान सूचना,सरकारी योजना: प्रधानमंत्री आवास योजना के तहत आपको अनुदान मिला है। दावा करने के लिए आधार लिंक करें: http://pm-yojana-grant.info,"पीएम आवास योजना अनुदान सूचना
सरकारी योजना: प्रधानमंत्री आवास योजना के तहत आपको अनुदान मिला है। दावा करने के लिए आधार लिंक करें: http://pm-yojana-grant.info",hi,devanagari,False,False,1,real_curated,gov_scheme_hi_08
अमेज़न कैशबैक रिवॉर्ड दावा,"अमेज़न रिवॉर्ड: आपके खाते में 2,000 रुपये का कैशबैक पॉइंट जमा हुआ है। रिडीम करने के लिए पासवर्ड सत्यापित करें: http://amazon-cashback-claim.site","अमेज़न कैशबैक रिवॉर्ड दावा
अमेज़न रिवॉर्ड: आपके खाते में 2,000 रुपये का कैशबैक पॉइंट जमा हुआ है। रिडीम करने के लिए पासवर्ड सत्यापित करें: http://amazon-cashback-claim.site",hi,devanagari,False,False,1,real_curated,rewards_hi_09
नेट बैंकिंग पासवर्ड नवीनीकरण,तत्काल सूचना: आपका नेट बैंकिंग पासवर्ड समाप्त हो गया है। नया पासवर्ड सेट करने के लिए लिंक पर जाएं: http://icici-netbanking-renew.in,"नेट बैंकिंग पासवर्ड नवीनीकरण
तत्काल सूचना: आपका नेट बैंकिंग पासवर्ड समाप्त हो गया है। नया पासवर्ड सेट करने के लिए लिंक पर जाएं: http://icici-netbanking-renew.in",hi,devanagari,False,False,1,real_curated,password_hi_10
