sender,recipient,subject,body,headers,attachments,text,label
security-alert@microsoft-support-login.com,ceo@mycompany.com,Action Required: Unusual login activity detected,"We detected a suspicious login to your Microsoft Office 365 account from IP 192.168.4.15. Click here to confirm your identity or change your password immediately: http://microsoft-support-login.com/auth/verify?id=928",{},[],"Action Required: Unusual login activity detected We detected a suspicious login to your Microsoft Office 365 account from IP 192.168.4.15. Click here to confirm your identity or change your password immediately: http://microsoft-support-login.com/auth/verify?id=928",1
hr-system@mycompany-internal.com,employee@mycompany.com,URGENT: Verify your payroll credentials,Please verify your payroll information within 10 minutes to avoid a payout delay. Confirm your credentials: http://payroll-portal.com/login,"{""behavior_anomaly"": 0.85}",[],"URGENT: Verify your payroll credentials Please verify your payroll information within 10 minutes to avoid a payout delay. Confirm your credentials: http://payroll-portal.com/login",1
finance-dept@external-vendors.com,accounts-payable@mycompany.com,Payment Overdue: Invoice #20391,Your transfer for invoice #20391 is overdue. Payment is required immediately. Please review and process the invoice. Link: http://invoices.net/pay,{},[],"Payment Overdue: Invoice #20391 Your transfer for invoice #20391 is overdue. Payment is required immediately. Please review and process the invoice. Link: http://invoices.net/pay",1
admin-updates@system-support-portal.com,user@mycompany.com,Required Security Patch Update,Please download and run the attached critical security patch immediately to prevent account suspension.,{},"[{""name"": ""patch_update.exe""}]","Required Security Patch Update Please download and run the attached critical security patch immediately to prevent account suspension.",1
boss@mycompany.com,secretary@mycompany.com,Urgent wire transfer request,I need you to process an urgent wire transfer to our new vendor. The details are in this email. Let me know when it's done.,"{""Reply-To"": ""attacker-boss-reply@gmail.com""}",[],"Urgent wire transfer request I need you to process an urgent wire transfer to our new vendor. The details are in this email. Let me know when it's done.",1
refunds@irs-gov-tax-portal.com,taxpayer@mycompany.com,Your tax refund is ready,We are pleased to inform you that you have an outstanding tax refund of $450.20. Click here to claim your refund now: http://irs-gov-tax-portal.com/refund,{},[],"Your tax refund is ready We are pleased to inform you that you have an outstanding tax refund of $450.20. Click here to claim your refund now: http://irs-gov-tax-portal.com/refund",1
colleague@mycompany.com,you@mycompany.com,Project Aegis kickoff meeting sync,"Hi all, I scheduled a kickoff meeting for the new project tomorrow at 2 PM in Room B. Let's sync up then. Thanks!",{},[],"Project Aegis kickoff meeting sync Hi all, I scheduled a kickoff meeting for the new project tomorrow at 2 PM in Room B. Let's sync up then. Thanks!",0
colleague@mycompany.com,manager@mycompany.com,Project Report,Please find the project report attached. Let me know if you need changes.,{},"[{""name"": ""project_report.pdf""}]","Project Report Please find the project report attached. Let me know if you need changes.",0
professor@university.edu,student@university.edu,Assignment 1 Deadline,Your assignment submission deadline is Friday.,{},[],"Assignment 1 Deadline Your assignment submission deadline is Friday.",0
client@partnercompany.com,consultant@mycompany.com,Meeting at 3 PM,Can we meet at 3 PM to discuss the project?,{},[],"Meeting at 3 PM Can we meet at 3 PM to discuss the project?",0
noreply@github.com,developer@mycompany.com,[GitHub] Security Alert: dependency vulnerability,We found a known vulnerability in one of your dependencies. Please update the package to the latest version.,{},[],"[GitHub] Security Alert: dependency vulnerability We found a known vulnerability in one of your dependencies. Please update the package to the latest version.",0
friend@gmail.com,you@gmail.com,Dinner tonight?,Hey are you free for dinner tonight around 7 PM? Let me know if you can make it.,{},[],"Dinner tonight? Hey are you free for dinner tonight around 7 PM? Let me know if you can make it.",0
