email_id,sender,subject,true_label,bert_prob,bert_pred,xgb_prob,xgb_pred,fusion_prob,fusion_pred,nlp_score,url_score,header_score,attachment_score,sender_behavior_score,category,expert_explanation
0,security-alert@microsoft-support-login.com,Action Required: Unusual login activity detected,1,0.98,1,0.9973,1,0.9973,1,0.98,0.8,1.0,0.0,0.0,CATEGORY_D (Both Catch),"Multi-signal threat containing both strong semantic urgency/credential theft cues and identifiable technical indicators (lookalike URLs, brand spoofing, or abnormal headers)."
1,hr-system@mycompany-internal.com,URGENT: Verify your payroll credentials,1,0.98,1,0.9973,1,0.9973,1,0.98,0.6,0.85,0.0,0.85,CATEGORY_D (Both Catch),"Multi-signal threat containing both strong semantic urgency/credential theft cues and identifiable technical indicators (lookalike URLs, brand spoofing, or abnormal headers)."
2,finance-dept@external-vendors.com,Payment Overdue: Invoice #20391,1,0.98,1,0.9973,1,0.9973,1,0.98,0.5,0.45,0.0,0.0,CATEGORY_D (Both Catch),"Multi-signal threat containing both strong semantic urgency/credential theft cues and identifiable technical indicators (lookalike URLs, brand spoofing, or abnormal headers)."
3,admin-updates@system-support-portal.com,Required Security Patch Update,1,0.8897,1,0.9862,1,0.9862,1,0.8897,0.0,0.45,0.85,0.0,CATEGORY_D (Both Catch),"Multi-signal threat containing both strong semantic urgency/credential theft cues and identifiable technical indicators (lookalike URLs, brand spoofing, or abnormal headers)."
4,boss@mycompany.com,Urgent wire transfer request,1,0.777,1,0.9592,1,0.9592,1,0.777,0.0,0.4,0.0,0.0,CATEGORY_D (Both Catch),"Multi-signal threat containing both strong semantic urgency/credential theft cues and identifiable technical indicators (lookalike URLs, brand spoofing, or abnormal headers)."
5,refunds@irs-gov-tax-portal.com,Your tax refund is ready,1,0.98,1,0.9973,1,0.9973,1,0.98,0.35,0.8,0.0,0.0,CATEGORY_D (Both Catch),"Multi-signal threat containing both strong semantic urgency/credential theft cues and identifiable technical indicators (lookalike URLs, brand spoofing, or abnormal headers)."
6,m365-security@auth-update-alert.xyz,CRITICAL: Office 365 Password Expiration Notice,1,0.98,1,0.9973,1,0.9973,1,0.98,0.6,0.8,0.0,0.0,CATEGORY_D (Both Catch),"Multi-signal threat containing both strong semantic urgency/credential theft cues and identifiable technical indicators (lookalike URLs, brand spoofing, or abnormal headers)."
7,service@paypal-account-verify.top,Security Alert: Account Restricted Due to Fraud,1,0.9362,1,0.9973,1,0.9973,1,0.9362,0.8,1.0,0.0,0.0,CATEGORY_D (Both Catch),"Multi-signal threat containing both strong semantic urgency/credential theft cues and identifiable technical indicators (lookalike URLs, brand spoofing, or abnormal headers)."
8,docusign-notifications@electronic-signature-docs.live,Important Document: Please Sign Contract Agreement,1,0.98,1,0.985,1,0.985,1,0.98,0.35,0.0,0.0,0.0,CATEGORY_D (Both Catch),"Multi-signal threat containing both strong semantic urgency/credential theft cues and identifiable technical indicators (lookalike URLs, brand spoofing, or abnormal headers)."
9,support@appleid-device-security.info,Apple ID Locked: Immediate Verification Required,1,0.98,1,0.9973,1,0.9973,1,0.98,0.8,1.0,0.0,0.0,CATEGORY_D (Both Catch),"Multi-signal threat containing both strong semantic urgency/credential theft cues and identifiable technical indicators (lookalike URLs, brand spoofing, or abnormal headers)."
10,it-helpdesk@mycompany-support.com,VPN Access Re-authentication Required,1,0.98,1,0.9973,1,0.9973,1,0.98,0.6,0.85,0.0,0.0,CATEGORY_D (Both Catch),"Multi-signal threat containing both strong semantic urgency/credential theft cues and identifiable technical indicators (lookalike URLs, brand spoofing, or abnormal headers)."
11,helpdesk@mycompany.com,Storage Quota Full: Action Required,1,0.98,1,0.985,1,0.985,1,0.98,0.35,0.0,0.0,0.0,CATEGORY_D (Both Catch),"Multi-signal threat containing both strong semantic urgency/credential theft cues and identifiable technical indicators (lookalike URLs, brand spoofing, or abnormal headers)."
12,billing@netflix-subscription-update.online,Payment Failed: Update Membership Billing Info,1,0.9697,1,0.9973,1,0.9973,1,0.9697,0.6,1.0,0.0,0.0,CATEGORY_D (Both Catch),"Multi-signal threat containing both strong semantic urgency/credential theft cues and identifiable technical indicators (lookalike URLs, brand spoofing, or abnormal headers)."
13,tracking@fedex-delivery-hold.info,Parcel Delivery Failure: Action Needed,1,0.98,1,0.985,1,0.985,1,0.98,0.35,0.0,0.0,0.0,CATEGORY_D (Both Catch),"Multi-signal threat containing both strong semantic urgency/credential theft cues and identifiable technical indicators (lookalike URLs, brand spoofing, or abnormal headers)."
14,account-alerts@amazon-prime-verify.site,Amazon Order Security Alert,1,0.8601,1,0.9922,1,0.9922,1,0.8601,0.8,1.0,0.0,0.0,CATEGORY_D (Both Catch),"Multi-signal threat containing both strong semantic urgency/credential theft cues and identifiable technical indicators (lookalike URLs, brand spoofing, or abnormal headers)."
15,security@bankofamerica-auth-check.xyz,Urgent: Online Banking Access Suspended,1,0.98,1,0.9973,1,0.9973,1,0.98,0.6,0.8,0.0,0.0,CATEGORY_D (Both Catch),"Multi-signal threat containing both strong semantic urgency/credential theft cues and identifiable technical indicators (lookalike URLs, brand spoofing, or abnormal headers)."
16,hr-notice@company-policy-update.top,Mandatory Employee Health Form Signatures,1,0.98,1,0.9973,1,0.9973,1,0.98,0.6,0.8,0.85,0.0,CATEGORY_D (Both Catch),"Multi-signal threat containing both strong semantic urgency/credential theft cues and identifiable technical indicators (lookalike URLs, brand spoofing, or abnormal headers)."
17,it-support@microsoft-mfa-verify.com,Action Required: Re-verify your Office 365 MFA Credentials,1,0.98,1,0.9891,1,0.9891,1,0.98,0.0,1.0,0.75,0.0,CATEGORY_D (Both Catch),"Multi-signal threat containing both strong semantic urgency/credential theft cues and identifiable technical indicators (lookalike URLs, brand spoofing, or abnormal headers)."
