event_id,channel,timestamp,sender,recipient,subject,body,urls,language,origin,campaign_id,threat_theme,qr_payloads
EVT_001_E,email,2026-03-10T09:15:00Z,security@sbi-kyc-verify-auth.invalid,victim_corp@company.com,Urgent: Your SBI NetBanking Access is Suspended,"Dear Customer, your State Bank of India account requires mandatory KYC verification by midnight. Complete verification here: http://sbi-kyc-verify-auth.invalid/login",['http://sbi-kyc-verify-auth.invalid/login'],en,synthetic,CAMP_001_SBI_KYC,Banking & KYC Credential Lure,
EVT_001_S,sms,2026-03-10T09:28:00Z,+919876543210,,,SBI ALERT: Aapka SBI account block ho gaya hai. Verify PAN/Aadhaar immediately: http://short.example/sbi-01,['http://short.example/sbi-01'],hi+en,synthetic,CAMP_001_SBI_KYC,Banking & KYC Credential Lure,
EVT_001_W,whatsapp,2026-03-10T09:42:00Z,+919876543210,,,"प्रिय ग्राहक, आपका एसबीआई बैंक खाता आज रात निलंबित कर दिया जाएगा। पैन कार्ड अपडेट करें: http://sbi-kyc-verify-auth.invalid/login",['http://sbi-kyc-verify-auth.invalid/login'],hi,synthetic,CAMP_001_SBI_KYC,Banking & KYC Credential Lure,
EVT_002_E,email,2026-03-12T14:10:00Z,billing@tneb-bill-update-quick.invalid,chennai_office@company.com,மின் இணைப்பு துண்டிப்பு எச்சரிக்கை - TNEB Urgent Notice,கடைசி எச்சரிக்கை: உங்கள் மின் கட்டணம் நிலுவையில் உள்ளது. இன்றிரவு 9:30 மணிக்கு மின் இணைப்பு துண்டிக்கப்படும். செலுத்த: http://tneb-bill-update-quick.invalid/pay,['http://tneb-bill-update-quick.invalid/pay'],ta,synthetic,CAMP_002_TNEB_POWER,Utility Disconnection Threat,
EVT_002_S,sms,2026-03-12T14:25:00Z,+918765432109,,,TNEB ALERT: Ungal power connection inru iravu cut aagum. Bill pay panna link: http://tiny.example/tneb-cut,['http://tiny.example/tneb-cut'],ta+en,synthetic,CAMP_002_TNEB_POWER,Utility Disconnection Threat,
EVT_002_W,whatsapp,2026-03-12T14:40:00Z,+918765432109,,,"Dear Consumer, your electricity bill is overdue. Electricity officer contact: +918765432109. Pay immediately to avoid power disconnection: http://tneb-bill-update-quick.invalid/pay",['http://tneb-bill-update-quick.invalid/pay'],en,synthetic,CAMP_002_TNEB_POWER,Utility Disconnection Threat,
EVT_003_E,email,2026-03-15T11:00:00Z,no-reply@login-microsoft-secure-auth.invalid,it_admin@enterprise.com,Action Required: Microsoft 365 Authenticator Re-registration,Security notice: Your Multi-Factor Authentication token has expired. Scan the QR code or click to re-authenticate: https://login-microsoft-secure-auth.invalid/auth/mfa,['https://login-microsoft-secure-auth.invalid/auth/mfa'],en,synthetic,CAMP_003_M365_MFA,Corporate Credential Theft / MFA Quishing,['https://redirect.example/m365-qr']
EVT_003_S,sms,2026-03-15T11:08:00Z,MSFT-ALERT,,,Microsoft Security Alert: Unusual login attempt detected. Confirm your identity immediately: https://login-microsoft-secure-auth.invalid/auth/mfa,['https://login-microsoft-secure-auth.invalid/auth/mfa'],en,synthetic,CAMP_003_M365_MFA,Corporate Credential Theft / MFA Quishing,
EVT_004_E,email,2026-03-18T16:30:00Z,rewards@hdfc-points-redeem-online.invalid,customer@company.com,"HDFC Bank: Rs. 9,850 Reward Points Expiring Today","Dear Customer, you have 9,850 unclaimed reward points worth Rs. 9,850 expiring tonight. Click to credit directly to your account: http://hdfc-points-redeem-online.invalid/redeem",['http://hdfc-points-redeem-online.invalid/redeem'],en,synthetic,CAMP_004_HDFC_REWARDS,Credit Card Reward & Points Scam,
EVT_004_S,sms,2026-03-18T16:45:00Z,HD-REWARD,,,HDFC Bank: Aapke 9850 reward points aaj expire ho rahe hain. Redeem karne ke liye link open karein: http://bit.example/hdfc-pts,['http://bit.example/hdfc-pts'],hi+en,synthetic,CAMP_004_HDFC_REWARDS,Credit Card Reward & Points Scam,
